topicId,rank,docId,filename
2,40,185,D:\LDA_IMPLEMENTATION\Input_Docs\sync3.txt
2,41,184,D:\LDA_IMPLEMENTATION\Input_Docs\sync2.txt
2,42,182,D:\LDA_IMPLEMENTATION\Input_Docs\sync.txt
2,43,181,D:\LDA_IMPLEMENTATION\Input_Docs\sturdy.txt
2,44,180,D:\LDA_IMPLEMENTATION\Input_Docs\standby2.txt
2,45,179,D:\LDA_IMPLEMENTATION\Input_Docs\standby.txt
2,46,176,D:\LDA_IMPLEMENTATION\Input_Docs\speaker_2.txt
2,47,175,D:\LDA_IMPLEMENTATION\Input_Docs\speaker_1.txt
2,48,174,D:\LDA_IMPLEMENTATION\Input_Docs\speaker8.txt
2,49,172,D:\LDA_IMPLEMENTATION\Input_Docs\speaker6.txt
2,50,171,D:\LDA_IMPLEMENTATION\Input_Docs\speaker5.txt
2,51,170,D:\LDA_IMPLEMENTATION\Input_Docs\speaker4.txt
2,52,169,D:\LDA_IMPLEMENTATION\Input_Docs\speaker3.txt
2,53,168,D:\LDA_IMPLEMENTATION\Input_Docs\speaker2.txt
2,54,167,D:\LDA_IMPLEMENTATION\Input_Docs\speaker1.txt
2,55,166,D:\LDA_IMPLEMENTATION\Input_Docs\speaker0.txt
2,56,165,D:\LDA_IMPLEMENTATION\Input_Docs\speaker.txt
2,57,163,D:\LDA_IMPLEMENTATION\Input_Docs\slow.txt
2,58,162,D:\LDA_IMPLEMENTATION\Input_Docs\size_3.txt
2,59,160,D:\LDA_IMPLEMENTATION\Input_Docs\size_1.txt
2,60,159,D:\LDA_IMPLEMENTATION\Input_Docs\size9.txt
2,61,158,D:\LDA_IMPLEMENTATION\Input_Docs\size8.txt
2,62,157,D:\LDA_IMPLEMENTATION\Input_Docs\size7.txt
2,63,156,D:\LDA_IMPLEMENTATION\Input_Docs\size6.txt
2,64,155,D:\LDA_IMPLEMENTATION\Input_Docs\size5.txt
2,65,154,D:\LDA_IMPLEMENTATION\Input_Docs\size4.txt
2,66,153,D:\LDA_IMPLEMENTATION\Input_Docs\size3.txt
2,67,152,D:\LDA_IMPLEMENTATION\Input_Docs\size1.txt
2,68,148,D:\LDA_IMPLEMENTATION\Input_Docs\signals2.txt
2,69,146,D:\LDA_IMPLEMENTATION\Input_Docs\signals.txt
2,70,145,D:\LDA_IMPLEMENTATION\Input_Docs\signal.txt
2,71,144,D:\LDA_IMPLEMENTATION\Input_Docs\shape1.txt
2,72,143,D:\LDA_IMPLEMENTATION\Input_Docs\shape.txt
2,73,142,D:\LDA_IMPLEMENTATION\Input_Docs\service_3.txt
2,74,141,D:\LDA_IMPLEMENTATION\Input_Docs\service_2.txt
2,75,140,D:\LDA_IMPLEMENTATION\Input_Docs\service_(2).txt
2,76,139,D:\LDA_IMPLEMENTATION\Input_Docs\service4.txt
2,77,138,D:\LDA_IMPLEMENTATION\Input_Docs\service.txt
2,78,137,D:\LDA_IMPLEMENTATION\Input_Docs\screen5.txt
2,79,136,D:\LDA_IMPLEMENTATION\Input_Docs\screen4.txt
2,80,135,D:\LDA_IMPLEMENTATION\Input_Docs\screen3.txt
2,81,134,D:\LDA_IMPLEMENTATION\Input_Docs\screen2.txt
2,82,133,D:\LDA_IMPLEMENTATION\Input_Docs\screen.txt
2,83,132,D:\LDA_IMPLEMENTATION\Input_Docs\scratch.txt
2,84,131,D:\LDA_IMPLEMENTATION\Input_Docs\ringtones.txt
2,85,130,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone9.txt
2,86,129,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone8.txt
2,87,128,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone7.txt
2,88,127,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone6.txt
2,89,126,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone5.txt
2,90,125,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone4.txt
2,91,124,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone3.txt
2,92,123,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone2.txt
2,93,122,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone1.txt
2,94,121,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone.txt
2,95,120,D:\LDA_IMPLEMENTATION\Input_Docs\ringers.txt
2,96,118,D:\LDA_IMPLEMENTATION\Input_Docs\rebate1.txt
2,97,117,D:\LDA_IMPLEMENTATION\Input_Docs\rebate.txt
2,98,116,D:\LDA_IMPLEMENTATION\Input_Docs\rebat1.txt
2,99,115,D:\LDA_IMPLEMENTATION\Input_Docs\rebat.txt
2,100,114,D:\LDA_IMPLEMENTATION\Input_Docs\radio4.txt
2,101,113,D:\LDA_IMPLEMENTATION\Input_Docs\radio3.txt
2,102,112,D:\LDA_IMPLEMENTATION\Input_Docs\radio2.txt
2,103,111,D:\LDA_IMPLEMENTATION\Input_Docs\radio.txt
2,104,110,D:\LDA_IMPLEMENTATION\Input_Docs\price.txt
2,105,109,D:\LDA_IMPLEMENTATION\Input_Docs\portability_2.txt
2,106,108,D:\LDA_IMPLEMENTATION\Input_Docs\portability.txt
2,107,107,D:\LDA_IMPLEMENTATION\Input_Docs\picture3.txt
2,108,106,D:\LDA_IMPLEMENTATION\Input_Docs\picture2.txt
2,109,105,D:\LDA_IMPLEMENTATION\Input_Docs\picture1.txt
2,110,104,D:\LDA_IMPLEMENTATION\Input_Docs\picture.txt
2,111,103,D:\LDA_IMPLEMENTATION\Input_Docs\phone_1.txt
2,112,101,D:\LDA_IMPLEMENTATION\Input_Docs\phone6.txt
2,113,100,D:\LDA_IMPLEMENTATION\Input_Docs\phone5.txt
2,114,99,D:\LDA_IMPLEMENTATION\Input_Docs\phone4.txt
2,115,98,D:\LDA_IMPLEMENTATION\Input_Docs\phone3.txt
2,116,97,D:\LDA_IMPLEMENTATION\Input_Docs\phone2.txt
2,117,96,D:\LDA_IMPLEMENTATION\Input_Docs\phone1.txt
2,118,95,D:\LDA_IMPLEMENTATION\Input_Docs\phone.txt
2,119,94,D:\LDA_IMPLEMENTATION\Input_Docs\performance.txt
2,120,93,D:\LDA_IMPLEMENTATION\Input_Docs\os3.txt
2,121,92,D:\LDA_IMPLEMENTATION\Input_Docs\os2.txt
2,122,90,D:\LDA_IMPLEMENTATION\Input_Docs\os.txt
2,123,89,D:\LDA_IMPLEMENTATION\Input_Docs\options.txt
2,124,88,D:\LDA_IMPLEMENTATION\Input_Docs\network.txt
2,125,86,D:\LDA_IMPLEMENTATION\Input_Docs\menu_options.txt
2,126,85,D:\LDA_IMPLEMENTATION\Input_Docs\menus.txt
2,127,84,D:\LDA_IMPLEMENTATION\Input_Docs\menu5.txt
2,128,83,D:\LDA_IMPLEMENTATION\Input_Docs\menu4.txt
2,129,82,D:\LDA_IMPLEMENTATION\Input_Docs\menu3.txt
2,130,81,D:\LDA_IMPLEMENTATION\Input_Docs\menu2.txt
2,131,79,D:\LDA_IMPLEMENTATION\Input_Docs\menu.txt
2,132,78,D:\LDA_IMPLEMENTATION\Input_Docs\memory.txt
2,133,77,D:\LDA_IMPLEMENTATION\Input_Docs\look.txt
2,134,76,D:\LDA_IMPLEMENTATION\Input_Docs\loading.txt
2,135,75,D:\LDA_IMPLEMENTATION\Input_Docs\keys3.txt
2,136,74,D:\LDA_IMPLEMENTATION\Input_Docs\keys2.txt
2,137,72,D:\LDA_IMPLEMENTATION\Input_Docs\kernel.txt
2,138,71,D:\LDA_IMPLEMENTATION\Input_Docs\internet2.txt
